module,title,author,genre,linked_question_count,coverage
必修上,短歌行,曹操,诗歌,3,covered
必修上,归园田居·其一,(陶渊明,诗歌,3,covered
必修上,梦游天姥吟留别,李白,诗歌,3,covered
必修上,登高,杜甫,诗歌,3,covered
必修上,琵琶行并序,(白居易,古文,3,covered
必修上,念奴娇·赤壁怀古,苏轼,词,3,covered
必修上,永遇乐·京口北固亭怀古,辛弃疾,词,3,covered
必修上,声声慢,李清照,词,3,covered
必修上,劝学,,古文,3,covered
必修上,师说,韩愈,古文,3,covered
必修上,赤壁赋,苏轼,辞赋,3,covered
必修上,登泰山记,姚鼐,古文,3,covered
必修上,静女,,诗歌,3,covered
必修上,涉江采芙蓉,,诗歌,3,covered
必修上,虞美人,李煜,词,3,covered
必修上,鹊桥仙,秦观,词,3,covered
必修下,子路、曾皙、冉有、公西华侍坐,,古文,3,covered
必修下,谏太宗十思疏,魏征,古文,3,covered
必修下,答司马谏议书,王安石,古文,3,covered
必修下,阿房宫赋,杜牧,辞赋,3,covered
必修下,六国论,苏洵,古文,3,covered
必修下,登岳阳楼,杜甫,诗歌,3,covered
必修下,桂枝香·金陵怀古,王安石,词,3,covered
必修下,念奴娇·过洞庭,张孝祥,词,3,covered
选必上,论语十二章,,古文,3,covered
选必上,无衣,,诗歌,3,covered
选必上,春江花月夜,张若虚,诗歌,3,covered
选必上,将进酒,(李白,诗歌,3,covered
选必上,江城子·乙卯正月二十日夜记梦,(苏轼,词,3,covered
选必中,屈原列传,司马迁,古文,3,covered
选必中,过秦论·上,(贾谊,古文,3,covered
选必中,五代史伶官传序,欧阳修,古文,3,covered
选必中,燕歌行并序,高适,古文,3,covered
选必中,李凭箜篌引,(李贺,诗歌,3,covered
选必中,锦瑟,李商隐,诗歌,3,covered
选必中,书愤,陆游,古文,3,covered
选必下,离骚,屈原,辞赋,3,covered
选必下,蜀道难,李白,诗歌,3,covered
选必下,蜀相,杜甫,诗歌,3,covered
选必下,望海潮,柳永,词,3,covered
选必下,扬州慢,姜夔,词,3,covered
选必下,陈情表,李密,古文,3,covered
选必下,项脊轩志,归有光,古文,3,covered
选必下,兰亭集序,王羲之,古文,3,covered
选必下,归去来兮辞并序,(陶渊明,辞赋,3,covered
选必下,种树郭橐驼传,柳宗元,古文,3,covered
选必下,石钟山记,苏轼,古文,3,covered
选必下,拟行路难·其四,(鲍bào照,诗歌,3,covered
选必下,客至,杜甫,诗歌,3,covered
选必下,登快阁,黄庭坚,诗歌,3,covered
选必下,临安春雨初霁,陆游,诗歌,3,covered
拓展篇,报任安书,司马迁,古文,3,covered
拓展篇,礼运,,古文,3,covered
拓展篇,山居秋暝,王维,诗歌,3,covered
拓展篇,菩萨蛮,温庭筠,词,3,covered
拓展篇,苏幕遮,周邦彦,词,3,covered
拓展篇,菩萨蛮·书江西造口壁,辛弃疾,词,3,covered
拓展篇,青玉案·元夕,辛弃疾,词,3,covered
拓展篇,贺新郎,刘克庄,词,3,covered
拓展篇,长亭送别,王实甫,戏曲,3,covered
拓展篇,朝天子·咏喇叭,王磐,戏曲,3,covered
